1,Environmental,Aquatic,Marine,Cold seeps,Sediment,Sediment
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Marine,Cold seeps,Sediment,Sediment
1,Environmental,Aquatic,Marine,Cold seeps,Sediment,Sediment
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,sediment
1,Environmental,Aquatic,Marine,Cold seeps,Sediment,Sediment
1,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,tar
1,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,tar
1,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Marine
1,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Marine
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Marine
1,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,tar
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Laboratory microcosms
1,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Laboratory microcosms
1,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Laboratory microcosms
1,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Laboratory microcosms
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Marine hydrothermal vent
1,Environmental,Terrestrial,Oil reservoir,Oil,Unclassified,Petroleum reservoir
1,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Laboratory microcosms
1,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Laboratory microcosms
1,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Laboratory microcosms
1,Environmental,Terrestrial,Oil reservoir,Oil,Unclassified,Petroleum reservoir
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Marine hydrothermal vent
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,sediment
1,Environmental,Terrestrial,Soil,Wetlands,Peat,Arctic peat soil
1,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,tar
1,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Marine
1,Environmental,Aquatic,Marine,Cold seeps,Sediment,Sediment
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Marine hydrothermal vent
1,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Marine
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Marine hydrothermal vent
1,Environmental,Aquatic,Marine,Oceanic,Crustal Fluids,crustal fluids
1,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,Deep oceanic
1,Environmental,Aquatic,Marine,Cold seeps,Sediment,Marine sediment
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,sediment
1,Engineered,Wastewater,Nutrient removal,Dissolved organics (anaerobic),Activated sludge,Activated sludge
1,Engineered,Wastewater,Nutrient removal,Dissolved organics (anaerobic),Activated sludge,Activated sludge
1,Environmental,Aquatic,Freshwater,Lake,Sediment,Lake sediment
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,hot spring sediment
1,Environmental,Terrestrial,Soil,Wetlands,Unclassified,Soil
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Freshwater,Lake,Sediment,sediment
1,Environmental,Aquatic,Marine,Oceanic,Sediment,Deep subsurface
1,Environmental,Aquatic,Freshwater,Lake,Sediment,Sediment
1,Environmental,Aquatic,Freshwater,Wetlands,Soil,soil
1,Environmental,Aquatic,Freshwater,Wetlands,Soil,soil
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Freshwater,Lake,Sediment,sediment
1,Environmental,Aquatic,Freshwater,Lake,Sediment,sediment
1,Environmental,Aquatic,Freshwater,Lake,Sediment,sediment
1,Environmental,Aquatic,Freshwater,Lake,Sediment,sediment
1,Environmental,Aquatic,Freshwater,Lake,Sediment,sediment
1,Environmental,Aquatic,Freshwater,Lake,Sediment,sediment
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Acidic,Sulfidic aquatic
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Unclassified,Hot spring
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,sediment
1,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,marine sediment
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Unclassified,Hot spring
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,sediment
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Unclassified,Hot spring
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,sediment
1,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,sediment
