8000826454 assembled Ga0208037_100021144	8000826454	assembled	Ga0208037_100021144
8001864078 assembled Ga0452103_0387307_2_1459	8001864078	assembled	Ga0452103_0387307_2_1459
8001864114 assembled Ga0334965_0059155_2_1294	8001864114	assembled	Ga0334965_0059155_2_1294
8001973992 assembled Ga0102600_1009783	8001973992	assembled	Ga0102600_1009783
8012933386 assembled Ga0334838_009389_1299_2975	8012933386	assembled	Ga0334838_009389_1299_2975
8012935069 assembled Ga0310054_100460901	8012935069	assembled	Ga0310054_100460901
8016754405 assembled Ga0376447_002754_6714_8432	8016754405	assembled	Ga0376447_002754_6714_8432
8019462403 assembled Ga0180017_1011287	8019462403	assembled	Ga0180017_1011287
8019466071 assembled Ga0180017_1008715	8019466071	assembled	Ga0180017_1008715
8023774662 assembled Ga0334965_0041231_3_1619	8023774662	assembled	Ga0334965_0041231_3_1619
8045528067 assembled Ga0310054_100178132	8045528067	assembled	Ga0310054_100178132
8045572915 assembled Ga0334836_018408_1573_3249	8045572915	assembled	Ga0334836_018408_1573_3249
8045574886 assembled Ga0334832_018210_106_1782	8045574886	assembled	Ga0334832_018210_106_1782
8046181657 assembled Ga0208036_10030164	8046181657	assembled	Ga0208036_10030164
8046356836 assembled Ga0395716_015683_6_1562	8046356836	assembled	Ga0395716_015683_6_1562
8046357011 assembled Ga0376447_002380_3808_5607	8046357011	assembled	Ga0376447_002380_3808_5607
8048091338 assembled Ga0180016_1003589	8048091338	assembled	Ga0180016_1003589
8049252077 assembled Ga0334965_0014895_1893_3614	8049252077	assembled	Ga0334965_0014895_1893_3614
8049252113 assembled Ga0452103_0003078_7_1371	8049252113	assembled	Ga0452103_0003078_7_1371
8054904191 assembled Ga0334832_010437_1010_2686	8054904191	assembled	Ga0334832_010437_1010_2686
8054904226 assembled Ga0452101_2652150_110_1492	8054904226	assembled	Ga0452101_2652150_110_1492
8055140799 assembled Ga0395716_007660_1585_3273	8055140799	assembled	Ga0395716_007660_1585_3273
8055141161 assembled Ga0334901_10337361	8055141161	assembled	Ga0334901_10337361
8055263836 assembled Ga0395714_000399_10371_12056	8055263836	assembled	Ga0395714_000399_10371_12056
8055430984 assembled Ga0102515_1012952	8055430984	assembled	Ga0102515_1012952
8056005103 assembled Ga0180015_10054633	8056005103	assembled	Ga0180015_10054633
8056005210 assembled Ga0180007_100603892	8056005210	assembled	Ga0180007_100603892
8056431451 assembled Ga0452101_1450803_3_1283	8056431451	assembled	Ga0452101_1450803_3_1283
8056432596 assembled Ga0395713_0012503_2606_4285	8056432596	assembled	Ga0395713_0012503_2606_4285
8058277637 assembled Ga0102515_1007718	8058277637	assembled	Ga0102515_1007718
8061947607 assembled Ga0116192_100043021	8061947607	assembled	Ga0116192_100043021
8061957728 assembled Ga0334831_002569_5551_7203	8061957728	assembled	Ga0334831_002569_5551_7203
8061961949 assembled Ga0376447_001599_2242_3927	8061961949	assembled	Ga0376447_001599_2242_3927
8064047693 assembled Ga0172517_1054531	8064047693	assembled	Ga0172517_1054531
8064049012 assembled Ga0190285_10017401	8064049012	assembled	Ga0190285_10017401
8064711480 assembled Ga0172517_10024912	8064711480	assembled	Ga0172517_10024912
8064711578 assembled Ga0172382_102835271	8064711578	assembled	Ga0172382_102835271
8065520521 assembled Ga0334901_10283241	8065520521	assembled	Ga0334901_10283241
8065521985 assembled Ga0102515_10004230	8065521985	assembled	Ga0102515_10004230
8065526034 assembled Ga0102514_1017685	8065526034	assembled	Ga0102514_1017685
8065624406 assembled Ga0334831_000746_16688_18364	8065624406	assembled	Ga0334831_000746_16688_18364
8065842209 assembled Ga0075528_100222611	8065842209	assembled	Ga0075528_100222611
8066301546 assembled Ga0395713_0006084_878_2566	8066301546	assembled	Ga0395713_0006084_878_2566
8066315956 assembled Ga0334901_10178441	8066315956	assembled	Ga0334901_10178441
8066315991 assembled Ga0452101_1224854_1466_2812	8066315991	assembled	Ga0452101_1224854_1466_2812
8069711326 assembled Ga0190284_10075774	8069711326	assembled	Ga0190284_10075774
8071352420 assembled Ga0452099_1863202_1_1584	8071352420	assembled	Ga0452099_1863202_1_1584
8071352457 assembled Ga0334901_10121311	8071352457	assembled	Ga0334901_10121311
8072200653 assembled Ga0172382_102787941	8072200653	assembled	Ga0172382_102787941
8072202501 assembled Ga0172382_102248271	8072202501	assembled	Ga0172382_102248271
8072295634 assembled Ga0395713_0004974_228_1904	8072295634	assembled	Ga0395713_0004974_228_1904
8072296374 assembled Ga0334830_014672_2_1582	8072296374	assembled	Ga0334830_014672_2_1582
8072419237 assembled Ga0172382_100760883	8072419237	assembled	Ga0172382_100760883
8072419488 assembled Ga0172382_100158225	8072419488	assembled	Ga0172382_100158225
8072716095 assembled b3_nosca_v_01006440	8072716095	assembled	b3_nosca_v_01006440
8072716212 assembled Ga0334830_000431_10751_12403	8072716212	assembled	Ga0334830_000431_10751_12403
8073749330 assembled Ga0452099_0007128_1_1545	8073749330	assembled	Ga0452099_0007128_1_1545
8074123154 assembled Ga0376447_000630_19506_21446	8074123154	assembled	Ga0376447_000630_19506_21446
8074124625 assembled Ga0376446_020449_718_1995	8074124625	assembled	Ga0376446_020449_718_1995
8074166202 assembled Ga0376446_017289_465_2249	8074166202	assembled	Ga0376446_017289_465_2249
8074439538 assembled Ga0075525_100014076	8074439538	assembled	Ga0075525_100014076
8074440289 assembled Ga0075524_100598621	8074440289	assembled	Ga0075524_100598621
8074444032 assembled Ga0075524_100532841	8074444032	assembled	Ga0075524_100532841
8074446420 assembled Ga0075524_100020425	8074446420	assembled	Ga0075524_100020425
8075063192 assembled Ga0452095_1002445_342_2000	8075063192	assembled	Ga0452095_1002445_342_2000
8075063227 assembled Ga0334901_10071584	8075063227	assembled	Ga0334901_10071584
8075065460 assembled Ga0334829_004916_3287_4963	8075065460	assembled	Ga0334829_004916_3287_4963
8075065495 assembled Ga0452093_0879732_100_1644	8075065495	assembled	Ga0452093_0879732_100_1644
8075066938 assembled Ga0334901_10047058	8075066938	assembled	Ga0334901_10047058
8075066974 assembled Ga0452093_0531300_328_1740	8075066974	assembled	Ga0452093_0531300_328_1740
8075829561 assembled Ga0334901_100126411	8075829561	assembled	Ga0334901_100126411
8077314258 assembled Ga0376446_014120_978_2609	8077314258	assembled	Ga0376446_014120_978_2609
8082787972 assembled Ga0452091_1070323_399_1913	8082787972	assembled	Ga0452091_1070323_399_1913
8082795418 assembled Ga0395709_0084566_2_1207	8082795418	assembled	Ga0395709_0084566_2_1207
8082797980 assembled Ga0395709_0038519_789_2432	8082797980	assembled	Ga0395709_0038519_789_2432
8082800829 assembled Ga0395709_0033351_1403_2644	8082800829	assembled	Ga0395709_0033351_1403_2644
8082804578 assembled Ga0452089_2453897_1465_3117	8082804578	assembled	Ga0452089_2453897_1465_3117
8082807451 assembled Ga0452089_1795053_2_1297	8082807451	assembled	Ga0452089_1795053_2_1297
8082808724 assembled Ga0265406_10563409	8082808724	assembled	Ga0265406_10563409
8082918993 assembled Ga0395709_0024004_90_1766	8082918993	assembled	Ga0395709_0024004_90_1766
8082919689 assembled Ga0395706_005576_6334_8013	8082919689	assembled	Ga0395706_005576_6334_8013
8082920604 assembled Ga0395706_000682_18988_20676	8082920604	assembled	Ga0395706_000682_18988_20676
8082925257 assembled Ga0395706_000007_87180_88868	8082925257	assembled	Ga0395706_000007_87180_88868
8082927361 assembled Ga0395706_000001_404096_405781	8082927361	assembled	Ga0395706_000001_404096_405781
8082928070 assembled Ga0395705_083098_1_1275	8082928070	assembled	Ga0395705_083098_1_1275
8082931164 assembled Ga0395705_004649_3922_5598	8082931164	assembled	Ga0395705_004649_3922_5598
8082931970 assembled Ga0452089_1187566_3_1511	8082931970	assembled	Ga0452089_1187566_3_1511
8082939117 assembled Ga0395705_000259_10000_11676	8082939117	assembled	Ga0395705_000259_10000_11676
8082974803 assembled Ga0395704_052279_71_1390	8082974803	assembled	Ga0395704_052279_71_1390
8082975046 assembled Ga0568905_0013657_2161_3900	8082975046	assembled	Ga0568905_0013657_2161_3900
8082980469 assembled Ga0452089_0300064_1230_2906	8082980469	assembled	Ga0452089_0300064_1230_2906
8082982277 assembled Ga0395704_010332_1276_2964	8082982277	assembled	Ga0395704_010332_1276_2964
8082990198 assembled Ga0452089_0007374_349_2007	8082990198	assembled	Ga0452089_0007374_349_2007
8082995559 assembled Ga0452085_1256421_3_1322	8082995559	assembled	Ga0452085_1256421_3_1322
8082997506 assembled Ga0452083_0219061_1_1641	8082997506	assembled	Ga0452083_0219061_1_1641
8083000274 assembled Ga0452081_0680738_117_1325	8083000274	assembled	Ga0452081_0680738_117_1325
8083003419 assembled Ga0395704_003875_4821_6272	8083003419	assembled	Ga0395704_003875_4821_6272
8083008061 assembled Ga0395704_001285_7640_9292	8083008061	assembled	Ga0395704_001285_7640_9292
8083011277 assembled Ga0395703_0028926_212_1735	8083011277	assembled	Ga0395703_0028926_212_1735
8083015244 assembled Ga0395703_0000096_3950_5626	8083015244	assembled	Ga0395703_0000096_3950_5626
